modo_medida,filtro,tipo_de_seqs,tipo_de_plataformas,tipo_de_modos,comparacion,r_cuadrado
counts,3,ont,bambu,raw,B80K20,0.8775 
counts,3,ont,flair,raw,B20K80,0.9017 
counts,3,ont,flair,raw,B80K20,0.9069 
counts,3,ont,flair,qc,B20K80,0.9017 
counts,3,ont,flair,qc,B80K20,0.9069 
counts,3,ont,isoquant,raw,B20K80,0.8789 
counts,3,ont,isoquant,raw,B80K20,0.8837 
counts,3,ont,isoquant,qc,B20K80,0.8789 
counts,3,ont,isoquant,qc,B80K20,0.8837 
counts,3,ont,isoquant,rq,B20K80,0.8702 
counts,3,ont,isoquant,rq,B80K20,0.8755 
counts,3,ont,flair,fl,B20K80,0.9017 
counts,3,ont,flair,fl,B80K20,0.9069 
counts,3,ont,flair,rq,B20K80,0.9028 
counts,3,ont,flair,rq,B80K20,0.9079 
counts,3,ont,isoquant,fl,B20K80,0.8789 
counts,3,ont,isoquant,fl,B80K20,0.8837 
TPM,0,isoseq,isocall,raw,B20K80,0.8238 
TPM,0,isoseq,isocall,raw,B80K20,0.7802 
TPM,0,isoseq,isocall,qc,B20K80,0.8238 
TPM,0,isoseq,isocall,qc,B80K20,0.7802 
TPM,0,isoseq,isocall,rq,B20K80,0.8416 
TPM,0,isoseq,isocall,rq,B80K20,0.8107 
TPM,0,isoseq,isocall,fl,B20K80,0.8238 
TPM,0,isoseq,isocall,fl,B80K20,0.7802 
TPM,0,isoseq,isoseq,fl,B20K80,0.1785 
TPM,0,isoseq,isoseq,fl,B80K20,0.1511 
TPM,0,isoseq,isoseq,rq,B20K80,0.185 
TPM,0,isoseq,isoseq,rq,B80K20,0.1577 
TPM,0,isoseq,isoseq,qc,B20K80,0.1785 
TPM,0,isoseq,isoseq,qc,B80K20,0.1511 
TPM,0,isoseq,isoseq,raw,B20K80,0.1785 
TPM,0,isoseq,isoseq,raw,B80K20,0.1511 
TPM,0,isoseq,bambu,raw,B20K80,0.8574 
TPM,0,isoseq,bambu,raw,B80K20,0.8416 
TPM,0,isoseq,bambu,qc,B20K80,0.8671 
TPM,0,isoseq,bambu,qc,B80K20,0.8519 
TPM,0,isoseq,flair,raw,B20K80,0.5247 
TPM,0,isoseq,flair,raw,B80K20,0.4575 
TPM,0,isoseq,flair,qc,B20K80,0.5247 
TPM,0,isoseq,flair,qc,B80K20,0.4575 
TPM,0,isoseq,bambu,fl,B20K80,0.8671 
TPM,0,isoseq,bambu,fl,B80K20,0.8519 
TPM,0,isoseq,bambu,rq,B20K80,0.8709 
TPM,0,isoseq,bambu,rq,B80K20,0.8568 
TPM,0,isoseq,isoquant,raw,B20K80,0.6315 
TPM,0,isoseq,isoquant,raw,B80K20,0.5986 
TPM,0,isoseq,isoquant,qc,B20K80,0.6315 
TPM,0,isoseq,isoquant,qc,B80K20,0.5986 
TPM,0,isoseq,flair,rq,B20K80,0.6146 
TPM,0,isoseq,flair,rq,B80K20,0.5762 
TPM,0,isoseq,flair,fl,B20K80,0.5247 
TPM,0,isoseq,flair,fl,B80K20,0.4575 
TPM,0,isoseq,isoquant,fl,B20K80,0.6315 
TPM,0,isoseq,isoquant,fl,B80K20,0.5986 
TPM,0,isoseq,isoquant,rq,B20K80,0.6654 
TPM,0,isoseq,isoquant,rq,B80K20,0.6373 
TPM,0,masseq,isocall,qc,B20K80,0.9469 
TPM,0,masseq,isocall,raw,B20K80,0.9469 
TPM,0,masseq,isoseq,raw,B20K80,0.2263 
TPM,0,masseq,isocall,rq,B20K80,0.9523 
TPM,0,masseq,isoseq,fl,B20K80,0.2263 
TPM,0,masseq,isoseq,rq,B20K80,0.2312 
TPM,0,masseq,isoseq,qc,B20K80,0.2263 
TPM,0,masseq,isocall,fl,B20K80,0.9469 
TPM,0,masseq,bambu,raw,B20K80,0.9222 
TPM,0,masseq,bambu,qc,B20K80,0.9244 
TPM,0,masseq,bambu,rq,B20K80,0.9264 
TPM,0,masseq,bambu,fl,B20K80,0.9244 
TPM,0,masseq,isoquant,raw,B20K80,0.7188 
TPM,0,masseq,flair,rq,B20K80,0.6514 
TPM,0,masseq,isoquant,fl,B20K80,0.7188 
TPM,0,masseq,isoquant,qc,B20K80,0.7188 
TPM,0,masseq,isoquant,rq,B20K80,0.7492 
TPM,0,masseq,flair,raw,B20K80,0.5425 
TPM,0,masseq,flair,qc,B20K80,0.5425 
TPM,0,masseq,flair,fl,B20K80,0.5425 
TPM,0,ont,flair,raw,B20K80,0.3718 
TPM,0,ont,flair,raw,B80K20,0.3091 
TPM,0,ont,flair,qc,B20K80,0.3718 
TPM,0,ont,flair,qc,B80K20,0.3091 
TPM,0,ont,bambu,qc,B20K80,0.8331 
TPM,0,ont,bambu,qc,B80K20,0.8096 
TPM,0,ont,bambu,rq,B20K80,0.8288 
TPM,0,ont,bambu,rq,B80K20,0.807 
TPM,0,ont,bambu,fl,B20K80,0.8331 
TPM,0,ont,bambu,fl,B80K20,0.8096 
TPM,0,ont,bambu,raw,B20K80,0.8332 
TPM,0,ont,bambu,raw,B80K20,0.797 
TPM,0,ont,flair,fl,B20K80,0.3718 
TPM,0,ont,flair,fl,B80K20,0.3091 
TPM,0,ont,flair,rq,B20K80,0.4013 
TPM,0,ont,flair,rq,B80K20,0.3456 
TPM,0,ont,isoquant,raw,B20K80,0.5453 
TPM,0,ont,isoquant,raw,B80K20,0.4643 
TPM,0,ont,isoquant,fl,B20K80,0.5453 
TPM,0,ont,isoquant,fl,B80K20,0.4643 
